['Pseudo :', 'AK.MattOuuZ', 'AccountID :', '37572a57-d370-4c3a-aeed-a993af5e79cd', 'Total points :', 16851723, 'Rank :', 151]
['Pseudo :', 'F1lthy.Casual', 'AccountID :', '7cbba52b-bfa1-4d4f-8208-f9e0a0440f58', 'Total points :', 16726387, 'Rank :', 152]
['Pseudo :', 'Ixxonn', 'AccountID :', 'af30b7a1-fc37-485f-94bf-f00e39805d8c', 'Total points :', 16718689, 'Rank :', 153]
['Pseudo :', 'Thomas_Jean', 'AccountID :', '955b28c6-cd59-4796-8060-128c66128b9f', 'Total points :', 16616765, 'Rank :', 154]
['Pseudo :', 'Rin.TM', 'AccountID :', '6510ef7b-3b4a-4c32-a547-842b1dc7738d', 'Total points :', 16604948, 'Rank :', 155]
['Pseudo :', 'cty.Acide', 'AccountID :', 'a4615959-2ccb-4264-8de1-108cfce42585', 'Total points :', 16588962, 'Rank :', 156]
['Pseudo :', 'Chibbo_', 'AccountID :', '4979b291-f663-4241-a9d1-029214f5009b', 'Total points :', 16558247, 'Rank :', 157]
['Pseudo :', 'Minimariner', 'AccountID :', '2c843a2c-ef67-4d5b-a731-2d2c52520582', 'Total points :', 16495319, 'Rank :', 158]
['Pseudo :', 'Kaslacroute', 'AccountID :', '5d78b9b9-2a7b-464f-b7b3-a15dc462e5dd', 'Total points :', 16438863, 'Rank :', 159]
['Pseudo :', 'Rheuahrg', 'AccountID :', '2769da8f-f8df-4fe3-be90-8415c1ba75d2', 'Total points :', 16428434, 'Rank :', 160]
['Pseudo :', 'SparklingW', 'AccountID :', '2212a68c-7071-4901-9b4f-d8af9c51d00c', 'Total points :', 16367913, 'Rank :', 161]
['Pseudo :', 'bAd___CoOKiE', 'AccountID :', 'c5a402c6-5d15-4a11-868d-90a80ad1e5e2', 'Total points :', 16331581, 'Rank :', 162]
['Pseudo :', 'zHCarboN28', 'AccountID :', 'f1231688-ec44-4169-86e9-c75a543ccf96', 'Total points :', 16312638, 'Rank :', 163]
['Pseudo :', 'nectrone', 'AccountID :', '81c1d5b9-af15-42a5-a7d0-0a9a6e42fe43', 'Total points :', 16303834, 'Rank :', 164]
['Pseudo :', 'Toqqo', 'AccountID :', '52eccb5f-1517-49ad-8e2f-b5b92fc609a4', 'Total points :', 16197779, 'Rank :', 165]
['Pseudo :', 'ashsarmy', 'AccountID :', '9c2bdec9-2fac-4421-85a5-5cfa0dec4630', 'Total points :', 16186366, 'Rank :', 166]
['Pseudo :', 'Neon_1990.TTV', 'AccountID :', 'b9490aa7-cfe8-43c6-a04e-fc4b44ee0ba6', 'Total points :', 16140824, 'Rank :', 167]
['Pseudo :', 'Nova.Zypher', 'AccountID :', '4a983dc3-a938-4564-8a1c-8be20779f069', 'Total points :', 16048378, 'Rank :', 168]
['Pseudo :', 'Marmerladi', 'AccountID :', '0426bf16-8771-4277-8486-5090c0070643', 'Total points :', 16037160, 'Rank :', 169]
['Pseudo :', 'Outskilled_', 'AccountID :', '5b22d505-fe03-4384-921d-bedd49a79aea', 'Total points :', 15934511, 'Rank :', 170]
['Pseudo :', 'Passki', 'AccountID :', '2d777504-269b-4cf9-8bbf-48db3a1aa0e5', 'Total points :', 15780542, 'Rank :', 171]
['Pseudo :', 'FunnyRaceMan', 'AccountID :', '21a666d2-dc77-4856-ab4b-f52c7cbcf35c', 'Total points :', 15639672, 'Rank :', 172]
['Pseudo :', 'slowpiou', 'AccountID :', 'b2aaf54a-2577-4f6b-86a6-cd45779db291', 'Total points :', 15586758, 'Rank :', 173]
['Pseudo :', 'LuckersTurbo', 'AccountID :', '4c702731-5630-4108-b10c-d672f6e321ed', 'Total points :', 15535401, 'Rank :', 174]
['Pseudo :', 'Ornyx_x', 'AccountID :', '43010ea8-02f9-4de1-90d8-4294b41257d1', 'Total points :', 15496102, 'Rank :', 175]
['Pseudo :', 'Insanity.TM', 'AccountID :', 'b09527f2-b61d-4d9a-8cdc-73484590f81f', 'Total points :', 15442340, 'Rank :', 176]
['Pseudo :', 'NelsonlaineN', 'AccountID :', 'e31cec1e-a17b-48d2-a0f1-03489df71f8d', 'Total points :', 15399572, 'Rank :', 177]
['Pseudo :', 'xMoltoX', 'AccountID :', 'abf77231-3e2a-4fff-8f4e-fd3e2e18171f', 'Total points :', 15371554, 'Rank :', 178]
['Pseudo :', 'Tona.', 'AccountID :', '7cd60a75-609a-4e64-b286-16f329878249', 'Total points :', 15196570, 'Rank :', 179]
['Pseudo :', 'DontCareTM', 'AccountID :', 'f6980cd4-77ce-4045-bc73-25e68997d911', 'Total points :', 15194768, 'Rank :', 180]
['Pseudo :', 'Dividedz', 'AccountID :', '50475004-bbae-45d4-8ed5-b2e7eb8db737', 'Total points :', 15182138, 'Rank :', 181]
['Pseudo :', 'Dunkkzz', 'AccountID :', '63b7a999-0085-47e9-88b5-e5374edff533', 'Total points :', 15114284, 'Rank :', 182]
